t,p
534.734243,1432.370453
535.736688,1432.315521
536.738938,1432.288971
537.74033,1432.274017
538.742742,1432.274017
539.745135,1432.648468
540.747685,1435.247345
541.750057,1437.970581
542.752606,1440.697784
543.754937,1443.424988
544.757313,1445.940094
545.759205,1446.223145
546.760638,1446.22818
547.763096,1446.228485
548.765581,1446.22818
549.768223,1446.228638
550.770654,1446.229401
551.772989,1446.229553
552.775448,1446.231537
553.777769,1446.233215
554.779262,1446.233978
555.78082,1446.235352
556.783327,1446.235352
557.785862,1446.235352
558.788128,1446.235504
559.790462,1446.238251
560.792789,1446.238251
561.795081,1446.238708
562.797625,1446.240082
563.799382,1446.240082
564.800955,1446.239777
565.803251,1446.239777
566.805723,1446.24176
567.808056,1446.244049
568.810366,1446.245728
569.812914,1446.247559
570.815215,1446.249084
571.817759,1446.249084
572.819577,1446.249084
573.820745,1446.249237
574.823097,1446.249695
575.825503,1446.250305
576.827769,1446.250916
577.830269,1446.252747
578.832611,1446.253357
579.834918,1446.25351
580.837458,1446.25351
581.839145,1446.253967
582.840545,1446.25473
583.843241,1446.255646
584.845183,1446.255951
585.847644,1446.25885
586.849895,1446.259918
587.852378,1446.259918
588.854724,1446.259918
589.857061,1446.260223
590.85908,1446.261292
591.860482,1446.261749
592.862666,1446.261749
593.865102,1446.264191
594.867584,1446.265717
595.869925,1446.265717
596.872255,1446.265717
597.874514,1446.264954
598.876975,1446.264954
599.879109,1446.261749
600.880383,1446.261749
601.882774,1446.262817
602.885036,1446.264343
603.887564,1446.264954
604.889577,1446.264954
605.892208,1445.818787
606.894458,1437.234802
607.896907,1415.486908
608.898971,1389.440765
609.900091,1358.957977
610.90273,1322.736816
611.90498,1287.87384
612.907564,1260.488358
613.909746,1230.511017
614.912035,1200.089417
615.914645,1170.46814
616.917049,1139.331131
617.919226,1106.583099
